Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DTW,"Detroit, MI: Detroit Metro Wayne County",1,2004,629,542,1272,103,341,8982,11900,36659,30530,39811,114379,6630
EWR,"Newark, NJ: Newark Liberty International",1,2004,439,642,1729,120,548,9260,12751,27719,38714,91114,166062,8432
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1,2004,353,376,544,59,27,4044,5418,16659,23331,20720,64316,3358
IAD,"Washington, DC: Washington Dulles International",1,2004,454,505,378,72,279,6937,8633,26182,35068,13003,78757,4388
IAH,"Houston, TX: George Bush Intercontinental/Houston",1,2004,465,637,1416,103,113,13494,16261,27434,33219,41980,109447,6429
JFK,"New York, NY: John F. Kennedy International",1,2004,430,501,600,60,128,5076,6826,23856,27078,20789,76037,3885
LAS,"Las Vegas, NV: McCarran International",1,2004,650,908,965,78,177,9972,12769,31742,43334,31286,112088,5167
LAX,"Los Angeles, CA: Los Angeles International",1,2004,944,900,1232,183,359,15595,19248,46168,49196,42888,150585,11674
LGA,"New York, NY: LaGuardia",1,2004,445,568,1482,213,588,7223,10526,23140,35349,66260,138616,13558
MCO,"Orlando, FL: Orlando International",1,2004,503,518,663,87,49,6673,8506,26598,30542,24337,87721,5856
MDW,"Chicago, IL: Chicago Midway International",1,2004,224,560,802,83,225,5630,7597,12946,37391,47261,105840,7823
MIA,"Miami, FL: Miami International",1,2004,344,285,593,117,70,4199,5612,22300,17822,20958,67183,6079
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1,2004,583,583,1504,117,274,9113,12200,36446,35024,48574,127790,7134
ORD,"Chicago, IL: Chicago O'Hare International",1,2004,1248,2501,8999,318,2652,16939,32715,91650,196186,602479,915637,25015
PDX,"Portland, OR: Portland International",1,2004,267,315,319,47,531,3147,4673,13642,16089,9872,42726,2720
PHL,"Philadelphia, PA: Philadelphia International",1,2004,378,601,927,63,287,6932,9202,18879,36651,37871,97167,3745
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,2004,700,786,820,89,283,11563,14272,39593,38470,26371,112782,7569
SAN,"San Diego, CA: San Diego International",1,2004,404,419,359,49,102,5826,7176,17408,21497,12062,54074,2828
SEA,"Seattle, WA: Seattle/Tacoma International",1,2004,559,722,812,104,335,6003,8586,31346,44221,28901,113615,8382
SFO,"San Francisco, CA: San Francisco International",1,2004,640,553,1992,113,283,7130,10746,33575,34315,88998,164456,6985
SLC,"Salt Lake City, UT: Salt Lake City International",1,2004,1152,593,1157,301,366,7658,11270,49891,28943,47580,145962,18473
TPA,"Tampa, FL: Tampa International",1,2004,281,399,375,40,35,4671,5807,13313,21733,14691,52178,2338
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,2004,1197,1579,7959,787,921,19883,32372,85159,101390,426190,670133,56601
BOS,"Boston, MA: Logan International",2,2004,358,484,606,61,164,8217,9896,17853,27396,21478,70234,3425
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,2004,336,543,362,44,60,6855,8216,15032,26385,11531,55836,2496
CLT,"Charlotte, NC: Charlotte Douglas International",2,2004,232,422,561,29,167,7075,8495,10510,21597,17403,52003,2481
DCA,"Washington, DC: Ronald Reagan Washington National",2,2004,308,265,384,65,123,6160,7307,13877,13084,12144,42802,3684
DEN,"Denver, CO: Denver International",2,2004,592,467,605,97,114,10032,11918,26732,24861,16822,73373,4833
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2,2004,905,1437,2664,306,505,21148,27068,61194,81429,101455,266301,22091
DTW,"Detroit, MI: Detroit Metro Wayne County",2,2004,403,414,790,64,204,9578,11463,23806,19697,22650,69707,3336
EWR,"Newark, NJ: Newark Liberty International",2,2004,321,555,1613,62,198,9586,12353,16916,30291,70901,121753,3352
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,2004,331,418,652,39,12,4031,5499,14803,22538,23237,63310,2579
IAD,"Washington, DC: Washington Dulles International",2,2004,206,444,295,17,175,6897,8038,9948,24148,9041,44368,1222
IAH,"Houston, TX: George Bush Intercontinental/Houston",2,2004,417,680,2089,73,68,12295,15650,24202,33550,65325,128942,5509
JFK,"New York, NY: John F. Kennedy International",2,2004,300,288,465,43,45,5416,6569,14207,14576,14274,45969,2565
LAS,"Las Vegas, NV: McCarran International",2,2004,561,921,1189,159,135,9290,12287,27596,49092,79789,171532,14827
LAX,"Los Angeles, CA: Los Angeles International",2,2004,811,884,866,96,253,14963,17910,40778,46311,25692,117654,4482
LGA,"New York, NY: LaGuardia",2,2004,343,496,976,116,238,7868,10053,18626,26390,36969,89193,7100
MCO,"Orlando, FL: Orlando International",2,2004,502,492,768,59,24,6477,8338,24720,26895,24754,80035,3411
MDW,"Chicago, IL: Chicago Midway International",2,2004,213,470,443,30,130,5930,7241,9594,21756,14782,49033,2499
MIA,"Miami, FL: Miami International",2,2004,347,261,565,54,26,4092,5356,18196,15397,19465,56489,3160
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2,2004,495,527,1543,84,225,8841,11745,34162,27235,47913,116289,6610
ORD,"Chicago, IL: Chicago O'Hare International",2,2004,807,2205,6081,163,984,20707,30970,54850,119915,284171,469942,10721
PDX,"Portland, OR: Portland International",2,2004,177,263,209,26,60,3558,4315,8159,13187,5656,28946,1350
PHL,"Philadelphia, PA: Philadelphia International",2,2004,280,518,728,44,165,6901,8645,14541,28677,29386,75364,2747
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2,2004,633,874,1107,61,177,10775,13652,30060,45446,33662,113250,3789
SAN,"San Diego, CA: San Diego International",2,2004,339,416,302,38,65,5451,6625,13578,21643,8203,45180,1656
SEA,"Seattle, WA: Seattle/Tacoma International",2,2004,340,534,411,26,112,6558,8014,17872,28071,11569,59654,1341
SFO,"San Francisco, CA: San Francisco International",2,2004,463,388,1447,53,205,7445,10027,24105,23815,83200,134609,3122
SLC,"Salt Lake City, UT: Salt Lake City International",2,2004,813,492,737,163,193,8348,10785,31530,23213,29110,95207,10510
TPA,"Tampa, FL: Tampa International",2,2004,300,437,468,36,11,4441,5712,13001,22883,14948,53102,2147
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3,2004,1068,912,3195,227,255,29114,34810,62652,45578,109620,230029,11812
BOS,"Boston, MA: Logan International",3,2004,374,578,983,35,263,8679,10921,19995,35581,35109,93093,2249
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,2004,413,589,406,16,44,7413,8897,18883,28476,12750,61211,945
CLT,"Charlotte, NC: Charlotte Douglas International",3,2004,223,437,402,12,81,7982,9139,9703,21748,10934,43010,623
DCA,"Washington, DC: Ronald Reagan Washington National",3,2004,318,296,428,41,105,6732,7929,14998,17135,12554,47396,2600
DEN,"Denver, CO: Denver International",3,2004,525,412,453,39,80,11354,12879,26013,24114,12754,65521,2453
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3,2004,778,943,1477,161,401,25536,29385,49006,49191,52376,163097,12102
DTW,"Detroit, MI: Detroit Metro Wayne County",3,2004,506,504,1159,58,160,10208,12607,26953,26959,31815,89112,3057
EWR,"Newark, NJ: Newark Liberty International",3,2004,335,622,2555,104,376,9666,13719,22051,39441,141487,212227,8913
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3,2004,323,377,490,29,23,4819,6071,14755,20138,22335,59257,1826
IAD,"Washington, DC: Washington Dulles International",3,2004,220,462,390,11,120,7584,8795,11633,27266,11599,51261,605
IAH,"Houston, TX: George Bush Intercontinental/Houston",3,2004,432,611,1720,75,72,14366,17306,25214,30214,53190,113950,4882
JFK,"New York, NY: John F. Kennedy International",3,2004,335,350,828,23,69,5415,7055,18296,16691,25416,62201,1391
LAS,"Las Vegas, NV: McCarran International",3,2004,557,929,730,56,84,11069,13446,26017,43783,24984,98221,3241
LAX,"Los Angeles, CA: Los Angeles International",3,2004,818,877,744,104,228,16704,19497,41916,43437,23359,114216,5183
LGA,"New York, NY: LaGuardia",3,2004,386,464,1394,127,368,8095,10922,20996,27510,61368,120912,10980
MCO,"Orlando, FL: Orlando International",3,2004,435,490,433,43,14,7698,9127,19883,25660,13564,62961,3522
MDW,"Chicago, IL: Chicago Midway International",3,2004,242,529,612,36,90,6278,7812,10600,23892,21415,58240,2174
MIA,"Miami, FL: Miami International",3,2004,260,216,359,33,14,4894,5791,15093,12572,11440,41649,2120
MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,2004,534,527,1393,60,209,10126,12884,32832,28248,39412,104007,3149
ORD,"Chicago, IL: Chicago O'Hare International",3,2004,841,2491,7894,180,1085,20676,33217,70734,187152,531283,801740,12257
PDX,"Portland, OR: Portland International",3,2004,205,265,210,12,62,3988,4751,11749,13552,6147,32783,1216
PHL,"Philadelphia, PA: Philadelphia International",3,2004,296,542,1116,34,125,7144,9275,14947,33682,42910,93494,1943
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3,2004,614,817,662,44,138,12405,14710,32847,38761,21507,95860,2591
SAN,"San Diego, CA: San Diego International",3,2004,355,392,302,38,59,6038,7203,14681,17453,9738,43840,1889
SEA,"Seattle, WA: Seattle/Tacoma International",3,2004,425,554,591,27,77,7088,8783,22975,30125,17695,72713,1542
SFO,"San Francisco, CA: San Francisco International",3,2004,433,364,794,53,117,9228,11013,20728,21369,34499,79762,3036
SLC,"Salt Lake City, UT: Salt Lake City International",3,2004,500,325,362,39,79,10224,11546,22827,15915,10837,52562,2637
TPA,"Tampa, FL: Tampa International",3,2004,290,385,252,18,10,5291,6250,12778,19218,8020,41137,1053
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4,2004,1007,924,3550,209,264,28029,34026,61697,46890,122793,243355,11253
BOS,"Boston, MA: Logan International",4,2004,399,529,753,21,106,9002,10815,23415,30577,23464,78902,1310
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4,2004,363,648,398,34,20,7218,8690,16239,29634,13188,61752,2483
CLT,"Charlotte, NC: Charlotte Douglas International",4,2004,237,388,467,14,42,7699,8853,11896,18170,14436,45141,639
DCA,"Washington, DC: Ronald Reagan Washington National",4,2004,294,285,383,47,62,6609,7691,13316,13444,12435,42570,3295
DEN,"Denver, CO: Denver International",4,2004,490,364,523,52,74,10998,12526,22137,19070,14320,59700,3978
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,2004,700,777,1396,217,249,25220,28593,47674,39817,45936,146425,12371
DTW,"Detroit, MI: Detroit Metro Wayne County",4,2004,422,383,768,54,117,10632,12394,23302,18546,22514,67401,2805
EWR,"Newark, NJ: Newark Liberty International",4,2004,355,655,2336,108,142,9604,13223,24416,39848,133120,205683,7905
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4,2004,309,374,617,22,6,4561,5907,14294,21896,25176,63103,1422
IAD,"Washington, DC: Washington Dulles International",4,2004,222,430,663,19,68,7316,8734,10786,25659,25394,63198,1329
IAH,"Houston, TX: George Bush Intercontinental/Houston",4,2004,418,660,1629,92,92,13712,16666,25510,31569,56567,122078,7921
JFK,"New York, NY: John F. Kennedy International",4,2004,357,297,819,28,29,5683,7244,19527,15530,28778,66140,1757
LAS,"Las Vegas, NV: McCarran International",4,2004,528,875,847,74,63,10471,12880,24357,42227,35735,107621,4998
LAX,"Los Angeles, CA: Los Angeles International",4,2004,775,813,802,53,113,16362,18953,33578,38217,23257,97891,2444
LGA,"New York, NY: LaGuardia",4,2004,324,451,1385,118,174,8222,10696,17630,24983,68036,117812,7139
MCO,"Orlando, FL: Orlando International",4,2004,423,513,684,43,7,7272,8953,19955,26860,21024,70755,2666
MDW,"Chicago, IL: Chicago Midway International",4,2004,235,479,412,15,34,6402,7588,10539,22669,11835,46262,961
MIA,"Miami, FL: Miami International",4,2004,223,160,464,20,11,4639,5534,13902,10253,16537,41741,1043
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,2004,380,300,802,84,128,10359,12103,30054,15967,31116,87096,9692
ORD,"Chicago, IL: Chicago O'Hare International",4,2004,728,1483,5346,129,456,23928,32091,46434,84864,274465,415267,9365
PDX,"Portland, OR: Portland International",4,2004,185,233,157,8,45,3978,4612,9415,10944,4691,25657,501
PHL,"Philadelphia, PA: Philadelphia International",4,2004,315,448,1138,33,65,7037,9049,16159,25826,45512,89301,1804
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,2004,549,782,607,43,150,11957,14118,29035,35767,17709,85320,2387
SAN,"San Diego, CA: San Diego International",4,2004,363,377,250,28,40,5870,6957,14727,17393,7763,41636,1642
SEA,"Seattle, WA: Seattle/Tacoma International",4,2004,333,489,337,17,48,7402,8653,14719,23562,10056,50254,1623
SFO,"San Francisco, CA: San Francisco International",4,2004,395,293,773,27,73,9183,10757,17876,14007,29366,62521,1056
SLC,"Salt Lake City, UT: Salt Lake City International",4,2004,549,284,628,52,79,9463,11072,21069,13131,22811,60124,2705
TPA,"Tampa, FL: Tampa International",4,2004,255,348,333,18,4,4900,5865,11445,19165,10465,42111,919
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,2004,1326,1515,5402,556,457,25565,34896,84606,107781,261333,494941,41153
BOS,"Boston, MA: Logan International",5,2004,435,662,1295,91,225,8262,10985,27370,46740,56249,138398,7789
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,2004,393,795,730,114,49,6779,8902,19693,46502,35621,111831,9817
CLT,"Charlotte, NC: Charlotte Douglas International",5,2004,262,424,556,48,80,7479,8857,12634,26326,21670,64289,3629
DCA,"Washington, DC: Ronald Reagan Washington National",5,2004,323,328,713,113,138,5976,7615,18097,21730,36218,83546,7402
DEN,"Denver, CO: Denver International",5,2004,631,525,774,79,106,10653,12820,35300,38120,31415,111295,6330
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,2004,926,930,1724,239,490,25044,29467,68303,54186,85405,227891,19847
DTW,"Detroit, MI: Detroit Metro Wayne County",5,2004,496,550,1094,201,269,9629,12305,34820,34939,48159,140179,22098
EWR,"Newark, NJ: Newark Liberty International",5,2004,384,792,2548,144,339,8734,12998,28223,62340,169090,272411,12572
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,2004,274,420,369,47,10,4283,5410,13731,24321,14375,57305,4802
IAD,"Washington, DC: Washington Dulles International",5,2004,261,726,737,47,162,7023,8990,13702,56165,39137,112697,3693
IAH,"Houston, TX: George Bush Intercontinental/Houston",5,2004,547,836,1488,133,390,13661,17238,41070,59061,82354,202939,20196
JFK,"New York, NY: John F. Kennedy International",5,2004,328,358,845,56,41,5603,7278,19826,20584,32565,78588,5062
LAS,"Las Vegas, NV: McCarran International",5,2004,598,912,747,50,67,10883,13277,30040,49612,28166,111777,3772
LAX,"Los Angeles, CA: Los Angeles International",5,2004,804,842,1224,96,173,16181,19345,39601,50433,46794,144181,6985
LGA,"New York, NY: LaGuardia",5,2004,362,511,1736,175,299,7572,10702,22411,37763,100552,173668,12669
MCO,"Orlando, FL: Orlando International",5,2004,439,565,634,74,17,7159,8891,21336,36545,24365,87679,5230
MDW,"Chicago, IL: Chicago Midway International",5,2004,251,643,848,100,52,5807,7729,12372,41436,41074,102599,7594
MIA,"Miami, FL: Miami International",5,2004,262,257,420,30,41,4547,5583,17104,19341,18221,57745,2889
MSP,"Minneapolis, MN: Minneapolis-St Paul International",5,2004,506,525,1036,137,217,9994,12466,31145,34001,39391,117390,12609
ORD,"Chicago, IL: Chicago O'Hare International",5,2004,1106,2759,6883,215,1968,19588,32756,94191,229539,527992,873086,21231
PDX,"Portland, OR: Portland International",5,2004,216,291,251,22,36,3897,4715,9308,15662,8620,34951,1299
PHL,"Philadelphia, PA: Philadelphia International",5,2004,379,512,1425,88,169,7074,9683,22385,39444,82530,152661,8193
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5,2004,548,757,652,53,153,12077,14271,28688,39187,23765,96087,4163
SAN,"San Diego, CA: San Diego International",5,2004,363,413,368,31,40,6014,7244,16051,23394,15113,57018,2281
SEA,"Seattle, WA: Seattle/Tacoma International",5,2004,485,628,678,38,78,7392,9326,24038,35390,23998,86711,2960
SFO,"San Francisco, CA: San Francisco International",5,2004,450,441,1314,64,86,8786,11157,23439,27991,65051,121707,5147
SLC,"Salt Lake City, UT: Salt Lake City International",5,2004,634,336,624,66,114,9856,11659,27173,18347,24051,73856,3687
TPA,"Tampa, FL: Tampa International",5,2004,271,444,349,33,12,4723,5837,14124,25069,14230,56088,2611
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,2004,1667,2070,7274,695,598,21845,34296,116385,143319,407072,714316,47159
BOS,"Boston, MA: Logan International",6,2004,520,794,1053,119,241,8527,11276,28666,54520,49765,141102,7790
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,2004,427,829,619,108,46,6829,8882,21305,52918,36216,119329,8632
CLT,"Charlotte, NC: Charlotte Douglas International",6,2004,390,597,668,67,77,6816,8654,19148,38064,29552,91942,5119
DCA,"Washington, DC: Ronald Reagan Washington National",6,2004,410,385,669,145,161,5811,7615,20332,25086,36216,92314,10662
DEN,"Denver, CO: Denver International",6,2004,969,726,1259,141,113,10173,13403,49397,46198,43857,149911,10218
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,2004,1482,2243,3381,729,642,19643,28426,110410,164219,186832,520185,58044
DTW,"Detroit, MI: Detroit Metro Wayne County",6,2004,659,670,1055,164,232,9522,12333,45342,38788,44072,143493,15044
EWR,"Newark, NJ: Newark Liberty International",6,2004,486,947,1813,127,275,9427,13135,30346,66955,125091,234400,11771
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,2004,322,489,382,70,14,3830,5118,15282,29510,15154,65657,5563
IAD,"Washington, DC: Washington Dulles International",6,2004,362,849,670,70,178,6894,9055,17386,64099,39908,127422,5856
IAH,"Houston, TX: George Bush Intercontinental/Houston",6,2004,740,1456,2870,279,291,10921,16852,51280,101151,143749,324522,27652
JFK,"New York, NY: John F. Kennedy International",6,2004,417,472,709,90,61,5787,7564,23277,27111,30133,87457,6491
LAS,"Las Vegas, NV: McCarran International",6,2004,853,1343,1214,69,102,9472,13089,47121,68766,42727,165511,5920
LAX,"Los Angeles, CA: Los Angeles International",6,2004,1213,1217,1614,126,152,14881,19240,61729,69501,58010,199687,9850
LGA,"New York, NY: LaGuardia",6,2004,423,603,1212,154,305,7972,10738,25996,39633,79085,155996,11150
MCO,"Orlando, FL: Orlando International",6,2004,565,812,818,106,23,6472,8835,30196,52605,31993,123908,8911
MDW,"Chicago, IL: Chicago Midway International",6,2004,257,763,892,109,40,5685,7767,10599,45792,39323,102512,6310
MIA,"Miami, FL: Miami International",6,2004,348,382,554,60,39,3938,5334,20888,29205,22719,77612,4709
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2004,712,650,1150,147,132,9746,12593,47433,39481,43735,140638,9571
ORD,"Chicago, IL: Chicago O'Hare International",6,2004,1269,2422,5016,244,849,21453,31298,93390,160734,282762,554653,17457
PDX,"Portland, OR: Portland International",6,2004,284,426,306,34,35,3668,4761,14348,25616,10370,52903,2397
PHL,"Philadelphia, PA: Philadelphia International",6,2004,448,683,1347,94,217,7070,9898,25069,46923,75174,154521,7256
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2004,859,1134,986,80,145,10728,13964,45241,56626,33349,142571,6449
SAN,"San Diego, CA: San Diego International",6,2004,471,624,467,44,29,5485,7132,21619,32392,16717,74175,3162
SEA,"Seattle, WA: Seattle/Tacoma International",6,2004,694,915,799,54,108,7253,9847,33604,50456,26027,115328,4790
SFO,"San Francisco, CA: San Francisco International",6,2004,617,630,1318,81,120,8283,11057,30563,37513,61816,136023,5949
SLC,"Salt Lake City, UT: Salt Lake City International",6,2004,743,510,836,98,101,9473,11802,33835,26242,31157,99598,7952
TPA,"Tampa, FL: Tampa International",6,2004,306,550,499,62,11,4246,5706,15722,33978,21659,76294,4882
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2004,1854,1811,5038,491,475,26116,35894,114679,107822,203409,452768,26468
BOS,"Boston, MA: Logan International",7,2004,635,815,1481,177,378,8429,11936,38619,60397,77332,190297,13677
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2004,432,839,705,124,90,6933,9182,21809,52735,43389,131711,13602
