Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
MDW,"Chicago, IL: Chicago Midway International",12,2003,228,506,522,31,115,6050,7472,11196,27136,18559,58863,1641
MIA,"Miami, FL: Miami International",12,2003,364,259,575,72,54,4164,5508,19605,16869,21984,64961,6013
MSP,"Minneapolis, MN: Minneapolis-St Paul International",12,2003,585,528,1321,76,200,9291,12030,33026,26926,39680,104818,4477
ORD,"Chicago, IL: Chicago O'Hare International",12,2003,1146,2311,8292,254,1034,19638,32696,75506,136636,394549,624499,17249
PDX,"Portland, OR: Portland International",12,2003,312,405,338,38,39,3593,4738,14317,19287,10355,46126,2032
PHL,"Philadelphia, PA: Philadelphia International",12,2003,376,576,1211,49,263,6582,9079,17036,36787,55663,114072,4500
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,2003,728,791,673,68,157,11729,14167,35856,39342,21005,102381,5922
SAN,"San Diego, CA: San Diego International",12,2003,491,500,484,68,88,5482,7148,20827,25001,15674,66906,5201
SEA,"Seattle, WA: Seattle/Tacoma International",12,2003,552,726,640,53,82,6616,8691,25084,38695,20363,87174,2837
SFO,"San Francisco, CA: San Francisco International",12,2003,612,562,2186,102,208,6951,10645,31356,36626,127523,202376,6564
SLC,"Salt Lake City, UT: Salt Lake City International",12,2003,846,578,868,282,401,7791,10809,42955,34139,43500,150262,28993
TPA,"Tampa, FL: Tampa International",12,2003,328,387,379,24,59,4587,5768,13982,20192,13761,49842,1794
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,2004,1302,1265,4567,599,805,25766,34338,80117,69987,202058,395265,42304
BOS,"Boston, MA: Logan International",1,2004,450,699,642,85,468,7783,10133,26550,40926,22976,95068,4580
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,2004,371,611,487,60,206,6875,8632,17392,32019,17244,70364,3486
CLT,"Charlotte, NC: Charlotte Douglas International",1,2004,303,498,564,47,221,7450,9099,13923,25158,19568,61505,2856
DCA,"Washington, DC: Ronald Reagan Washington National",1,2004,360,343,490,76,336,5916,7531,18066,19488,16338,58637,4720
DEN,"Denver, CO: Denver International",1,2004,850,638,930,171,226,9882,12719,43024,42507,29265,128150,12934
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1,2004,1078,1439,2752,413,572,22974,29315,72199,75240,95720,274049,30401
